entry_time,entry_price,exit_time,exit_price,direction,profit_loss,strategy,symbol,resolution,holding_bars,points
2025-08-06 05:22:24,16000.25,2025-08-06 05:36:24,16002.27,long,39.9,SMA_crossover,NQ,1min,14,2.02
2025-08-06 05:22:24,2050.2,2025-08-06 06:06:24,2049.75,long,-45.04,SMA_crossover,GCZ,1min,44,-0.45
2025-08-06 07:36:24,16004.65,2025-08-06 07:48:24,16003.67,short,19.14,RSI_breakout,NQ,1min,12,0.98
2025-08-06 13:06:24,2035.04,2025-08-06 15:11:24,2035.59,long,55.27,random_realistic,GCZ,5min,25,0.56
2025-08-06 20:11:24,2035.94,2025-08-06 23:41:24,2035.42,short,51.25,random_realistic,GCZ,15min,14,0.52
2025-08-06 23:48:24,16012.99,2025-08-06 23:51:24,16014.14,short,-23.56,RSI_breakout,NQ,1min,3,-1.15
2025-08-07 15:51:24,16063.17,2025-08-07 16:29:24,16061.65,long,-31.05,random_realistic,NQ,1min,38,-1.53
2025-08-07 19:41:24,2036.41,2025-08-09 19:41:24,2036.04,long,-36.6,SMA_crossover,GCZ,1d,2,-0.36
2025-08-08 14:29:24,16084.58,2025-08-08 15:39:24,16083.45,long,-23.07,SMA_crossover,NQ,5min,14,-1.13
2025-08-08 19:39:24,16065.22,2025-08-08 21:24:24,16066.56,short,-27.16,momentum,NQ,15min,7,-1.33
2025-08-09 00:24:24,16068.04,2025-08-17 00:24:24,16067.14,long,-18.59,SMA_crossover,NQ,1d,8,-0.9
2025-08-09 22:41:24,2035.37,2025-08-10 00:56:24,2035.15,short,21.52,random_realistic,GCZ,15min,9,0.22
2025-08-10 18:56:24,2053.67,2025-08-10 19:41:24,2054.19,short,-52.73,random_realistic,GCZ,1min,45,-0.52
2025-08-11 07:41:24,2020.23,2025-08-11 08:41:24,2019.75,short,47.52,random_realistic,GCZ,15min,4,0.48
2025-08-11 12:41:24,2013.14,2025-08-11 14:16:24,2013.73,short,-58.81,momentum,GCZ,5min,19,-0.58
2025-08-11 20:16:24,2029.09,2025-08-17 20:16:24,2028.57,long,-52.89,random_realistic,GCZ,1d,6,-0.52
2025-08-17 04:24:24,16106.65,2025-08-17 05:29:24,16106.5,long,-3.46,momentum,NQ,5min,13,-0.15
2025-08-18 03:29:24,16134.79,2025-08-18 04:03:24,16135.99,short,-24.43,random_realistic,NQ,1min,34,-1.2
2025-08-18 15:16:24,2031.99,2025-08-22 15:16:24,2031.68,short,29.82,RSI_breakout,GCZ,1d,4,0.3
2025-08-18 22:03:24,16163.93,2025-08-23 22:03:24,16164.47,long,10.35,SMA_crossover,NQ,1d,5,0.54
2025-08-22 18:16:24,2036.09,2025-08-22 18:42:24,2035.8,short,29.45,SMA_crossover,GCZ,1min,26,0.3
2025-08-23 03:42:24,2053.27,2025-08-23 04:22:24,2053.57,short,-30.36,RSI_breakout,GCZ,5min,8,-0.3
2025-08-23 21:22:24,2062.73,2025-08-27 21:22:24,2063.42,long,68.18,momentum,GCZ,1d,4,0.69
2025-08-24 00:03:24,16181.38,2025-08-24 00:10:24,16182.16,long,14.97,RSI_breakout,NQ,1min,7,0.77
